route_code;concept_id
ES_12OCTUBRE_ROUTE:B12;4171047
ES_12OCTUBRE_ROUTE:B21;4132161
ES_12OCTUBRE_ROUTE:B13;4142048
ES_12OCTUBRE_ROUTE:B23;45956874
ES_12OCTUBRE_ROUTE:B61;4184451
ES_12OCTUBRE_ROUTE:IV;4171047
ES_12OCTUBRE_ROUTE:B41;4290759
ES_12OCTUBRE_ROUTE:101;4171047
ES_12OCTUBRE_ROUTE:B30;4263689
ES_12OCTUBRE_ROUTE:B34;4262914
ES_12OCTUBRE_ROUTE:34;4171047
ES_12OCTUBRE_ROUTE:41;4142048
ES_12OCTUBRE_ROUTE:11;4132161
ES_12OCTUBRE_ROUTE:26;4302612
ES_12OCTUBRE_ROUTE:46;45956874
ES_12OCTUBRE_ROUTE:8;4262914
ES_12OCTUBRE_ROUTE:45;4290759
ES_12OCTUBRE_ROUTE:2;40490507
ES_12OCTUBRE_ROUTE:SC;4142048
ES_12OCTUBRE_ROUTE:B51;4057765
ES_12OCTUBRE_ROUTE:12;4303277
ES_12OCTUBRE_ROUTE:3;4262099
ES_12OCTUBRE_ROUTE:13;4292110
ES_12OCTUBRE_ROUTE:100;4171047
ES_12OCTUBRE_ROUTE:PO;40491411
ES_12OCTUBRE_ROUTE:O;0
ES_12OCTUBRE_ROUTE:EC;4186831
