units_cd;concept_id
[GPL'U];9100
[IU]/L;8923
[IU]/mL;8985
[MPL'U]/m;9158
[MPL'U]/mL;9158
[pH];8482
[UI]/ml;8985
{beats}/min;8541
{cells}/uL;8784
{respirations}/min;8541
/100{leucocytes};8554
%;8554
10*3/ul;8938
10*3/uL;8938
10*6/ul;8815
10*6/uL;8815
AMP;4186050
AMPBEB;4186050
AMPINY;4186050
AMPORAL;4186050
APLI;45891000
APLITOP;45891000
BOLS;4181295
BOLSA;4181295
BOLSAPERF;4181295
CAPI;4176621
CAPINH;4176621
CAPS;4176621
cm;8582
CO08;4186050
COMP;9431
ENE;45756978
ENEMA;45756978
fg/L;44777592
fL;8583
fl;8583
FRASC;4305548
FRASCO/BOLSA PERFUSION;4305548
g;8504
g/24.h;8807
g/dl;8713
g/dL;8713
g/l;8636
g/L;8636
GOTA;9296
GOTS;9296
IU/mL;4117839
JER;37116345
JERPRE;37116345
kg;9529
kg/m2;9531
kU/L;8810
m[IU]/mL;8719
m2;8617
MCG;9655
mEq;9551
MEQ;9551
meq/d;44777582
mEq/l;9557
meq/L;9557
mg;8576
MG;8576
mg/24.h;8909
mg/dl;8840
mg/dL;8840
mg/g;8723
mg/l;8751
mg/L;8751
mg/mL;8861
MILIEQUIVALENTES;9551
mL;8587
ml;8587
ML;8587
mL.U/L;44777578
ml/dl;9570
mL/dL;9570
mL/min;8795
ml/min;8795
mL/min{/1.};9117
mL/min/{1.73 m2};9117
mL/min/{1.73_m2};9117
ml/min/1.73m2;9117
mm;8588
mm[Hg];8876
mmol/l;8753
mmol/L;8753
mmol/mol;9579
mosm/kg;8862
mU/mL;8719
MUI;44777577
n/100Leu;8554
ng/dl;8817
ng/dL;8817
ng/l;8725
ng/L;8725
ng/mL;8842
ng/ml;8842
nmol/L;8736
pg;8564
pg/mL;8845
pg/ml;8845
pH;8482
s;8555
U;9648
ug;9655
ug/24.h;8906
ug/dL;8837
ug/dl;8837
ug/g;8720
ug/l;8748
ug/L;8748
ug/mL;8859
UI;8718
UI/mL;8985
uL.U/mL;9093
ulU/mL;9093
umol/l;8749
umol/L;8749
uU/mL;8860
VIAL;4218803
VIALINY;4218803
